type,count
residential,37287
commercial,11770
nature_reserve,11375
attraction,8735
university,7439
retail,5020
park,4611
construction,2579
brownfield,1816
military,1138
parking,1072
airfield,1003
research_institute,931
train_station,542
garden,461
bus_station,403
kindergarten,389
grass,378
college,287
forest,284
industrial,254
school,234
governmental,210
yes,209
police,162
zoo,107
tunnel,101
gift,96
cheese,90
sports_centre,68
apartments,59
planetarium,58
office,58
restaurant,54
public_building,47
mall,40
ice_rink,30
hospital,28
meadow,28
fuel,20
hotel,16
service,14
religious,12
farmyard,12
dormitory,11
fitness_centre,10
orchard,9
ruins,8
works,8
fast_food,6
golf_course,6
railway,6
hostel,3
toilets,2
books,2
transportation,1
bungalow,1
government,1
