type,count
commercial,27413
university,11633
residential,5010
park,2952
railway,2156
retail,1832
military,793
school,459
research_institute,434
industrial,402
civic_admin,268
grass,267
construction,242
bus_station,217
parking,215
hospital,191
mall,129
forest,121
garden,118
train_station,96
governmental,93
driver_training,89
brownfield,88
college,84
theme_park,67
attraction,55
arts_centre,49
apartments,44
hotel,26
meadow,26
golf_course,24
police,23
pitch,23
museum,22
fuel,22
airfield,17
sports_centre,13
transportation,12
roof,8
office,8
recreation_ground,7
bicycle_parking,5
supermarket,1
house,1
